账期,地区,城市_乡村,是否上网捆绑,用户类型,接入码,帐目类型,用户数,"话单
张数",通话时长,费用
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,9,39,2024,0
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,43,203,96590,0.39
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,65,192,22892,25.68
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,100,884,67815,21.51
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,41,0.2
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,28,0.39
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,179,2993,1719316,0.49
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,168,3731,2390567,22.15
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,29,0
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,69,208,16958,1.96
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,119,248,17110,12.74
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,7,153,0.88
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,57,147,9848,2.16
0803,巴南电信公司,城市,未捆绑,预付费小灵通,66004,66004增值市话费,2,3,181,0.39
0803,巴南电信公司,城市,未捆绑,预付费小灵通,118321,118321增值市话费（多方通话）,1,1,18,0.49
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,,其他声讯费,10,0,0,5.88
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,1378,3902,263231,80.68
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,12117,12117增值市话费,8,36,5254,0.59
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,96121,96121台增值市话费,19,55,2083,1.18
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,103,362,118946,14.65
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,112,266,45814,29.6
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值市话费,145,1197,96299,18.3
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,118311,118311增值市话费,3,3,268,0.59
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,4,234,0.78
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,14,0.2
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,201,2553,1648285,29.11
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,242,4038,3053006,38.91
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,5,7,273,0.39
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,96899,96899增值市话费,97,407,27531,11.17
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,94,219,13212,11.81
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,8,66,5105,0
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,80,167,7978,11.07
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,66004,66004增值市话费,2,8,203,0
0803,巴南电信公司,乡村,未捆绑,预付费小灵通,118321,118321增值市话费（多方通话）,24,121,16702,173.95
0803,永川电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,18,26,1586,5.68
0803,永川电信公司,城市,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,1,97,37575,0
0803,永川电信公司,城市,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,2,6,305,0.88
0803,永川电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,5,6,70,1.57
0803,永川电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,1,1,16,0.29
0803,永川电信,城市,未捆绑,预付费小灵通,12121,12121增值区间费,8,75,3017,24.7
0803,永川电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,42,84,5311,11.37
0803,永川电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,2,2,189,0
0803,永川电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,1,9,4845,0
0803,永川电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,13,0
0803,永川电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,1,1,90,0.29
0803,永川电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,2,5,218,0
0803,永川电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,43,1535,6.47
0803,万州电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,169,393,19492,45.28
0803,万州电信公司,城市,未捆绑,预付费小灵通,96121,96121台增值市话费,1,6,166,0
0803,万州电信公司,城市,未捆绑,预付费小灵通,118100,118100增值市话费,7,40,23656,3.14
0803,万州电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,12,48,3674,9.9
0803,万州电信公司,城市,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,3,21,7435,0.59
0803,万州电信公司,城市,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,1,1,46,0.2
0803,万州电信公司,城市,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,11,0
0803,万州电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,25,35,1389,5.98
0803,万州电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,5,17,836,0.8
0803,万州,城市,未捆绑,预付费小灵通,12121,12121增值区间费,32,195,14384,24.11
0803,万州电信公司,乡村,未捆绑,预付费小灵通,,其他声讯费,1,0,0,0.49
0803,万州电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,259,479,25210,62.43
0803,万州电信公司,乡村,未捆绑,预付费小灵通,96121,96121台增值市话费,2,14,686,2.74
0803,万州电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,12,47,5949,12.25
0803,万州电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,18,61,4521,12.29
0803,万州电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,5,6,2530,2.35
0803,万州电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,3,8,5122,0.59
0803,万州电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,3,3,29,0.59
0803,万州电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,20,25,648,4.51
0803,万州电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,14,1581,3.14
0803,万州电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,15,21,450,3.92
0803,万州电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,45,241,11483,44.88
0803,开县电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,4,7,257,1.96
0803,开县电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,4,5,215,1.18
0803,开县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,32,1227,10
0803,开县电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,72,122,6629,5.19
0803,开县电信公司,乡村,未捆绑,预付费小灵通,12117,12117增值市话费,1,43,2548,9.8
0803,开县电信公司,乡村,未捆绑,预付费小灵通,96121,96121台增值市话费,2,5,162,0.2
0803,开县电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,8,50,18974,1.96
0803,开县电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,6,10,692,1.37
0803,开县电信公司,乡村,未捆绑,预付费小灵通,96599,828台增值市话费,1,1,3,0
0803,开县电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,1,1,12,0.2
0803,开县电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,1,1,139,0.2
0803,开县电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,2,0
0803,开县电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,2,4,208,0
0803,开县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,9,1048,0.59
0803,开县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,18,38,1362,4.02
0803,开县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,28,179,6196,7.99
0803,涪陵电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,31,58,4093,11.86
0803,涪陵电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,9,494,1.76
0803,涪陵电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,11,0.2
0803,涪陵电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,177,0.2
0803,涪陵电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,5,44,0.59
0803,涪陵电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,7,350,1.37
0803,涪陵电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,54,1890,10.58
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,58,124,7688,4.41
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,6,500,0.39
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,29,20618,0
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,12,4168,0
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,35,0
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,9,12,520,0.78
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,27,0
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,14,650,0.59
0803,涪陵电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,15,586,2.94
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,39,65,3460,10.98
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,23,2238,0
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,435,1.08
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,390,0.69
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,5,154,0.98
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,24,44,1733,8.23
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,11,761,0
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,6,7,262,0.88
0803,石柱电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,11,26,1217,7.55
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,54,181,6600,28.52
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,5,203,0.98
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,17,2675,4.9
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,5,453,0.98
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,10,0.1
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,31,2798,7.74
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,11,2118,3.72
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,22,1133,3.63
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,23,437,3.53
0803,石柱电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,9,80,6158,20.58
0803,长寿电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,6,287,1.27
0803,长寿电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,87,0
0803,长寿电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,764,1.91
0803,长寿电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,21,0.88
0803,长寿电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,211,1.18
0803,长寿电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,44,87,4807,9.16
0803,长寿电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,8,1315,0
0803,长寿电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,136,0.39
0803,长寿电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,6,41,58298,0.98
0803,长寿电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,1,1,27,0.1
0803,长寿电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,2,2,92,0.39
0803,长寿电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,9,858,3.14
0803,大足电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,12,6471,17.2
0803,大足电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,6,1102,2.65
0803,大足电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,9,354,2.65
0803,大足电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,29,1053,9.11
0803,大足电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,8,15,914,1.57
0803,大足电信公司,乡村,未捆绑,预付费小灵通,12117,12117增值市话费,1,1,16,0.2
0803,大足电信公司,乡村,未捆绑,预付费小灵通,96121,96121台增值市话费,1,1,19,0
0803,大足电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,2,4,322,1.08
0803,大足电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,2,35,18300,0
0803,大足电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,1,70,53308,0
0803,大足电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,1,7,369,0.29
0803,大足电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,2,3,207,0.2
0803,大足,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,27,873,0.78
0803,双桥电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,1,2,49,0.59
0803,双桥电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,4,4,74,1.18
0803,双桥电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,4,12,599,0.59
0803,双桥电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,14,0
0803,双桥电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,1,1,28,0.29
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,14,34,1947,1.18
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,3,14,2884,5.39
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,1,1,10,0.2
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,1,1,6,0
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,3,63,51282,0
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,88,0.2
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,6,8,385,0.2
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,458,0.88
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,2,31,0.2
0803,潼南电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,26,0.2
0803,荣昌电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,6,14,901,2.74
0803,荣昌电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,6,11,171,2.16
0803,荣昌电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,8,40,1224,10.98
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,34,73,4582,3.82
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,1,2,181,0.39
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,1,2,126,0
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,4,9,4613,0.78
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,2,19,22601,0
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,36,0
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,3,7,629,0.2
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,3,9,939,0.44
0803,荣昌电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,6,9,342,0.39
0803,荣昌电信,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,12,539,2.94
0803,巫溪电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,18,28,1729,5.68
0803,巫溪电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,2,2,146,0.39
0803,巫溪电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,12,22,813,4.7
0803,巫溪电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,5,10,185,1.76
0803,巫溪电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,16,148,5209,46.45
0803,巫溪电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,14,21,548,2.45
0803,巫溪电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,39,0.39
0803,巫溪电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,6,297,1.47
0803,巫溪电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,5,103,0.49
0803,巫溪电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,10,40,1933,8.72
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,0,0,0.49
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,14,31,1718,6.08
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,71,0.59
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,49,3218,39.69
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,5,307,0.98
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,71,0.39
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,12,14,402,2.74
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,20,0.2
0803,忠县电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,15,65,2923,22.15
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,33,70,3122,9.41
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5,10,638,8.33
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,7,34,4265,8.13
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,17,711,3.33
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,6,953,2.06
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,166,0.59
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,10,21,867,4.12
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,9,0
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,9,11,275,1.96
0803,忠县电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,20,145,5963,32.73
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,43,65,3416,17.05
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,9,0.29
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,7,719,2.35
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,197,0.44
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,5,5,287,1.47
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,85,0.29
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,33,42,1133,11.17
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,11,192,2.94
0803,云阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,11,76,3445,19.4
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,62,111,5647,17.2
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,7,2983,5.49
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,24,862,4.7
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,6,1156,1.67
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,25,10172,16.02
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,21,0
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,12,18,652,3.72
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,20,27,745,3.43
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,32,0.49
0803,云阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,61,2842,14.31
0803,奉节电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,24,45,1982,4.12
0803,奉节电信公司,城市,未捆绑,预付费小灵通,96121,96121台增值市话费,1,2,116,0.39
0803,奉节电信公司,城市,未捆绑,预付费小灵通,118100,118100增值市话费,4,7,2272,3.82
0803,奉节电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,3,4,158,0.78
0803,奉节电信公司,城市,未捆绑,预付费小灵通,118311,118311增值市话费,1,1,184,0.29
0803,奉节电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,14,18,441,3.53
0803,奉节电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,6,8,116,1.57
0803,奉节电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,25,130,5175,27.05
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,0,0,0.98
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,83,181,7767,22.54
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,96121,96121台增值市话费,4,6,384,0.98
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,7,24,7512,3.33
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,8,14,731,2.74
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,3,3,200,0.59
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,1,4,457,0.98
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,3,4,69,0
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,13,19,735,2.84
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,1,2,49,0.39
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,21,25,448,4.51
0803,奉节电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,35,208,10098,43.22
0803,巫山电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,1,1,38,0.2
0803,巫山电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,1,10,194,1.96
0803,巫山电信,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,220,1.57
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,11,25,1113,4.7
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,12117,12117增值市话费,1,2,31,0.39
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,1,1,4,0.2
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,1,1,38,0.2
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,1,2,20,0
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,2,70,0.39
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,9,236,1.57
0803,巫山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,19,615,3.72
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,9,19,900,1.47
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,7,1351,0
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,3,98,0.59
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,244,0
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,12,11412,0
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,7,337,1.57
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,6,159,1.08
0803,城口电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,6,60,2080,18.82
0803,城口电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,16,21,1211,2.94
0803,城口电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,10,1963,2.55
0803,城口电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,94,0.2
0803,城口电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,2,0
0803,城口电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,3,141,0.59
0803,城口电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,287,0.2
0803,城口电信,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,21,588,1.37
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,60,90,3992,15.88
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,40,0.2
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,154,0.78
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,5,9,374,1.76
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,9,6960,10.98
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,40,0.59
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,36,47,921,9.21
0803,丰都电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,10,12,210,1.96
0803,丰都,城市,未捆绑,预付费小灵通,12121,12121增值区间费,43,301,12941,96.48
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,0,0,0.49
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,78,126,6609,16.95
