账期,地区,城市_乡村,是否上网捆绑,用户类型,接入码,帐目类型,用户数,"话单
张数",通话时长,费用
0803,上清寺局,城市,未捆绑,预付费小灵通,96899,96899增值市话费,214,704,61490,151.56
0803,上清寺局,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,341,498,20464,103.05
0803,上清寺局,城市,未捆绑,预付费小灵通,968139,968139增值市话费,22,325,30802,88.2
0803,上清寺局,城市,未捆绑,预付费小灵通,118114,118114增值市话费,240,427,24736,92.9
0803,上清寺局,城市,未捆绑,预付费小灵通,66004,66004增值市话费,9,21,1667,4.61
0803,上清寺局,城市,未捆绑,预付费小灵通,118313,118313语音信箱,1,1,8,0.2
0803,观音桥局,城市,未捆绑,预付费小灵通,114,114增值市话费,3008,6860,486678,1415.22
0803,观音桥局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,4,139,0.78
0803,观音桥局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,42,161,10317,34.89
0803,观音桥局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,85,241,60521,108.58
0803,观音桥局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,290,848,72741,187.52
0803,观音桥局,城市,未捆绑,预付费小灵通,12121,12121增值市话费,226,1448,99144,319.58
0803,观音桥局,城市,未捆绑,预付费小灵通,40081,40081增值市话费,321,746,96279,0
0803,观音桥局,城市,未捆绑,预付费小灵通,118311,118311增值市话费,2,2,24,0.39
0803,观音桥局,城市,未捆绑,预付费小灵通,966111,966111增值市话费,3,3,270,0.69
0803,观音桥局,城市,未捆绑,预付费小灵通,40086,40086增值市话费,3,3,644,0
0803,观音桥局,城市,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,111,587,241317,417.43
0803,观音桥局,城市,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,55,530,329391,547.18
0803,观音桥局,城市,未捆绑,预付费小灵通,40088,40088增值市话费,419,1418,210860,0
0803,观音桥局,城市,未捆绑,预付费小灵通,96509,国利台增值市话费,5,6,103,1.18
0803,观音桥局,城市,未捆绑,预付费小灵通,96899,96899增值市话费,168,671,47848,140.14
0803,观音桥局,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,431,660,28412,136.12
0803,观音桥局,城市,未捆绑,预付费小灵通,968139,968139增值市话费,12,153,10970,33.71
0803,观音桥局,城市,未捆绑,预付费小灵通,118114,118114增值市话费,218,396,19166,83.2
0803,观音桥局,城市,未捆绑,预付费小灵通,66004,66004增值市话费,3,17,1858,3.63
0803,沙坪坝局,城市,未捆绑,预付费小灵通,114,114增值市话费,3318,7441,512044,1548.01
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12117,12117增值市话费,2,3,108,0.59
0803,沙坪坝局,城市,未捆绑,预付费小灵通,96121,96121台增值市话费,47,207,11800,41.85
0803,沙坪坝局,城市,未捆绑,预付费小灵通,118100,118100增值市话费,107,433,116413,207.86
0803,沙坪坝局,城市,未捆绑,预付费小灵通,168,168台增值市话费,294,686,55357,147.15
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值市话费,291,1569,93645,334.38
0803,沙坪坝局,城市,未捆绑,预付费小灵通,40081,40081增值市话费,368,794,99826,0
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,2,0.2
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,243,1.08
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,1402,0
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,32,5005,0
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,134,752,257669,460.36
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,58,385,248775,422.63
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,424,1120,170719,0
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,2,35,0.39
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,216,664,51351,140.73
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,413,669,27543,140.97
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,22,195,40187,78.3
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,249,424,21084,94.08
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,3,255,0.59
0803,沙坪坝局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,32,5005,48.51
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3348,8073,568271,1683.49
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,5,57,1.18
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,44,188,13545,38.71
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,37,0.2
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,119,413,84419,160.72
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,311,661,56978,150.87
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,298,1848,115965,384.06
